"id","stratum","stratum_N","weight"
"W7038791195","french",233170,310.893333333333
"W6893694090","french",233170,310.893333333333
"W1571372977","french",233170,310.893333333333
"W7001747557","french",233170,310.893333333333
"W4394727479","french",233170,310.893333333333
"W7039295984","french",233170,310.893333333333
"W6937002408","french",233170,310.893333333333
"W2775130561","french",233170,310.893333333333
"W7111796719","french",233170,310.893333333333
"W848746237","french",233170,310.893333333333
"W338455161","french",233170,310.893333333333
"W1989462536","french",233170,310.893333333333
"W3097854130","french",233170,310.893333333333
"W4403192661","french",233170,310.893333333333
"W2142856396","french",233170,310.893333333333
"W3108110720","french",233170,310.893333333333
"W4398986935","french",233170,310.893333333333
"W6983079330","french",233170,310.893333333333
"W2577006385","french",233170,310.893333333333
"W2746170647","french",233170,310.893333333333
"W2904023198","french",233170,310.893333333333
"W4236012250","french",233170,310.893333333333
"W1984312557","french",233170,310.893333333333
"W135890135","french",233170,310.893333333333
"W4387533276","french",233170,310.893333333333
"W2992179804","french",233170,310.893333333333
"W7037535657","french",233170,310.893333333333
"W2036171795","french",233170,310.893333333333
"W3107481008","french",233170,310.893333333333
"W3036854558","french",233170,310.893333333333
"W3041822183","french",233170,310.893333333333
"W2919341588","french",233170,310.893333333333
"W60876692","french",233170,310.893333333333
"W1172686018","french",233170,310.893333333333
"W1460285905","french",233170,310.893333333333
"W4394888837","french",233170,310.893333333333
"W7124872355","french",233170,310.893333333333
"W4414347632","french",233170,310.893333333333
"W2084527574","french",233170,310.893333333333
"W2041076505","french",233170,310.893333333333
"W3161302681","french",233170,310.893333333333
"W3094809803","french",233170,310.893333333333
"W4396513432","french",233170,310.893333333333
"W2192017507","french",233170,310.893333333333
"W6893759378","french",233170,310.893333333333
"W4310454375","french",233170,310.893333333333
"W3015667729","french",233170,310.893333333333
"W6950591250","french",233170,310.893333333333
"W2531242735","french",233170,310.893333333333
